Path, Resource, Name
/Users/nicksinclair/Projects/Cloudformation/cloudformation-and-terraform-templates/Terraform/aws-three-tier/main.tf, aws_internet_gateway, example_ig, 
/Users/nicksinclair/Projects/Cloudformation/cloudformation-and-terraform-templates/Terraform/aws-three-tier/main.tf, aws_route_table, example_route_table, 
/Users/nicksinclair/Projects/Cloudformation/cloudformation-and-terraform-templates/Terraform/aws-three-tier/main.tf, aws_route_table_association, example_route_table_asc, 
modules/ec2/main.tf, aws_eip, default, 
modules/ec2/main.tf, aws_instance, ec2, 
modules/elb/main.tf, aws_elb, example_instances_elb, 
modules/elb/main.tf, aws_lb_cookie_stickiness_policy, default, 
modules/rds/main.tf, aws_db_instance, example_rds_instance, 
modules/sg/main.tf, aws_security_group, web_instance_sg, 
modules/sg/main.tf, aws_security_group, elb_sg, 
modules/sg/main.tf, aws_security_group, app_instance_sg, 
modules/subnet_db/main.tf, aws_db_subnet_group, db_subnet_group, 
modules/subnet_private/main.tf, aws_subnet, example_subnet_private_0, 
modules/subnet_private/main.tf, aws_subnet, example_subnet_private_1, 
modules/subnet_public/main.tf, aws_subnet, example_public_subnet, 
modules/vpc/vpc.tf, aws_vpc, example_vpc_id, 
